매물번호,보증금,월세,관리비,전용면적,노후도,해당층,전체층,엘리베이터,방향,위도,경도,주소,옵션_냉장고,옵션_침대,옵션_전자레인지,옵션_에어컨,옵션_세탁기,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47932630,50,17,5.0,26.44,6.0,2,3,False,E,35.8442644772357,128.750853512402,경상북도 경산시 임당동,True,True,True,True,True,906.0,351.0,210.0,760.0,1867.0,104.0,190.0
47932489,100,22,5.0,26.45,6.0,3,4,False,S,35.84308389377051,128.7639511735884,경상북도 경산시 압량읍 신대리,True,True,True,True,True,1254.0,327.0,76.0,140.0,2799.0,116.0,143.0
47932272,300,29,10.0,36.36,6.0,2,4,False,W,35.8430837825354,128.763952609876,경상북도 경산시 압량읍 신대리,True,True,True,True,True,1254.0,327.0,76.0,140.0,2799.0,116.0,143.0
47931331,100,20,5.0,24.0,6.0,3,4,False,NW,35.8381340814356,128.766174085256,경상북도 경산시 압량읍 신대리,True,True,False,True,True,1218.0,259.0,27.0,384.0,2823.0,60.0,76.0
47929703,300,40,10.0,30.0,6.0,1,3,False,E,35.8388823282042,128.754016849471,경상북도 경산시 조영동,True,True,True,True,True,308.0,49.0,26.0,119.0,1792.0,54.0,210.0
47928965,300,42,8.0,36.36,6.0,1,3,False,SE,35.8388823282042,128.754016849471,경상북도 경산시 조영동,True,True,True,True,True,308.0,49.0,26.0,119.0,1792.0,54.0,210.0
47928941,200,30,8.0,33.05,6.0,1,3,False,SE,35.8393039567623,128.752924536221,경상북도 경산시 조영동,True,True,True,True,True,337.0,65.0,55.0,226.0,1720.0,55.0,213.0
47928902,100,16,5.0,26.44,6.0,1,3,False,E,35.84473063408803,128.75709915740967,경상북도 경산시 압량면 부적리,True,True,False,True,True,1015.0,379.0,217.0,515.0,2343.0,54.0,327.0
47928784,100,23,5.0,26.45,6.0,2,3,False,N,35.8404827915643,128.753184990027,경상북도 경산시 조영동,True,True,True,True,True,469.0,148.0,118.0,303.0,1798.0,101.0,89.0
47928747,150,28,5.0,26.45,6.0,1,3,False,S,35.8406172765709,128.753626980724,경상북도 경산시 조영동,True,True,True,True,True,488.0,157.0,92.0,296.0,1840.0,131.0,54.0
47928745,200,29,9.0,29.75,8.0,4,4,False,S,35.8407644449356,128.756654522964,경상북도 경산시 조영동,True,True,True,True,True,605.0,167.0,62.0,119.0,2093.0,75.0,140.0
47928719,100,27,5.0,26.45,6.0,3,3,False,NW,35.838725063147,128.753598381379,경상북도 경산시 조영동,True,True,True,True,True,280.0,53.0,40.0,142.0,1751.0,40.0,193.0
47928579,200,15,10.0,33.05,6.0,2,3,False,E,35.8323153741313,128.708146527995,대구시 수성구 신매동,True,False,False,True,True,836.0,177.0,29.0,52.0,900.0,31.0,103.0
47928454,500,36,9.0,49.56,6.0,4,4,False,S,35.8175755764869,128.759078078945,경상북도 경산시 사동,True,True,False,True,True,2154.0,240.0,67.0,532.0,2730.0,139.0,43.0
47928287,100,20,8.0,33.1,6.0,2,3,False,S,35.8432223277009,128.754651964021,경상북도 경산시 조영동,True,True,False,True,True,789.0,183.0,167.0,446.0,2067.0,183.0,240.0
47928254,200,27,9.0,40.0,6.0,1,3,False,S,35.8212772994092,128.752214219578,경상북도 경산시 계양동,True,True,True,True,True,1669.0,149.0,34.0,152.0,1991.0,105.0,48.0
47928193,200,29,8.0,23.14,6.0,2,4,False,N,35.8380704794718,128.756572093403,경상북도 경산시 조영동,True,True,True,True,True,390.0,232.0,36.0,138.0,1981.0,125.0,250.0
47928180,100,23,7.0,33.1,6.0,2,4,False,SW,35.8445874850553,128.751567502792,경상북도 경산시 임당동,True,True,False,True,True,931.0,420.0,270.0,738.0,1939.0,177.0,253.0
47928174,100,25,5.0,24.0,6.0,2,3,False,N,35.8398638423636,128.75126740603,경상북도 경산시 대동,True,True,True,True,True,424.0,226.0,202.0,375.0,1613.0,90.0,269.0
47927839,200,35,5.0,40.0,6.0,3,4,False,S,35.8414392637129,128.762618341819,경상북도 경산시 압량읍 신대리,True,True,True,True,True,1051.0,254.0,115.0,75.0,2618.0,56.0,88.0
47927826,200,42,5.0,40.0,6.0,3,4,False,SW,35.8386709827854,128.757465920057,경상북도 경산시 조영동,True,True,True,True,True,493.0,273.0,99.0,84.0,2078.0,116.0,190.0
47927687,100,24,5.0,27.0,6.0,3,4,False,NE,35.8377213457097,128.757911649358,경상북도 경산시 조영동,True,True,True,True,True,483.0,353.0,124.0,178.0,2087.0,191.0,275.0
47927544,100,22,6.0,23.14,6.0,2,3,False,N,35.840482791565,128.753184990027,경상북도 경산시 조영동,True,True,True,True,True,469.0,148.0,118.0,303.0,1798.0,101.0,89.0
47927467,100,26,6.0,23.14,6.0,2,3,False,SE,35.8389804903939,128.751216554929,경상북도 경산시 대동,True,True,True,True,True,335.0,220.0,111.0,306.0,1565.0,98.0,321.0
47927447,100,23,5.0,34.0,6.0,3,3,False,S,35.8215002216791,128.75540124409,경상북도 경산시 삼풍동,True,True,True,True,True,1659.0,81.0,42.0,105.0,2202.0,65.0,124.0
47927422,100,25,5.0,40.0,6.0,4,4,False,S,35.8222623889361,128.755895020969,경상북도 경산시 삼풍동,True,True,True,True,True,1582.0,161.0,46.0,195.0,2191.0,41.0,216.0
47927407,200,25,5.0,30.0,6.0,2,4,False,S,35.8202504558958,128.756516987891,경상북도 경산시 삼풍동,True,True,True,True,True,1812.0,95.0,98.0,199.0,2365.0,170.0,99.0
47927390,100,23,5.0,30.0,6.0,1,3,False,S,35.8215678379678,128.755244844025,경상북도 경산시 삼풍동,True,True,True,True,True,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0
47927373,100,23,5.0,34.0,6.0,1,3,False,S,35.8210304603124,128.755864120309,경상북도 경산시 삼풍동,True,True,True,True,True,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0
47927368,200,30,5.0,28.5,6.0,2,4,False,NW,35.8396585497473,128.756435134109,경상북도 경산시 조영동,True,True,True,True,True,495.0,173.0,54.0,74.0,2027.0,54.0,166.0
47927361,100,20,5.0,30.0,6.0,1,3,False,S,35.8206883606528,128.756630863438,경상북도 경산시 삼풍동,True,True,True,True,True,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0
47927350,100,20,5.0,30.0,6.0,3,4,False,S,35.8215617430773,128.757277242412,경상북도 경산시 삼풍동,True,True,True,True,True,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0
47927331,100,25,5.0,33.06,6.0,2,3,False,S,35.8211290753466,128.755639916012,경상북도 경산시 삼풍동,True,True,True,True,True,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0
47927326,100,22,5.0,30.0,6.0,3,4,False,S,35.8206483628293,128.755563274142,경상북도 경산시 삼풍동,True,True,True,True,True,1755.0,24.0,32.0,103.0,2270.0,103.0,43.0
47927315,200,30,7.0,30.0,6.0,3,4,False,S,35.8200187284765,128.756359970055,경상북도 경산시 삼풍동,True,True,True,True,True,1835.0,106.0,71.0,198.0,2369.0,195.0,80.0
47927312,100,20,5.0,29.75,6.0,4,4,False,W,35.8215617430766,128.757277242413,경상북도 경산시 삼풍동,True,True,True,True,True,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0
47927296,100,23,5.0,29.75,6.0,1,3,False,SE,35.8215678379671,128.755244844025,경상북도 경산시 삼풍동,True,True,True,True,True,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0
47927291,4500,0,5.0,30.0,6.0,1,3,True,S,35.8233251312041,128.754417512895,경상북도 경산시 삼풍동,True,True,True,True,True,1447.0,159.0,137.0,266.0,2015.0,139.0,242.0
47927270,4000,0,3.0,33.06,6.0,1,3,False,SE,35.8216829867977,128.757699478556,경상북도 경산시 삼풍동,True,True,True,True,True,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0
47927259,100,25,5.0,33.06,6.0,1,3,False,S,35.8210304603124,128.755864120309,경상북도 경산시 삼풍동,True,True,True,True,True,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0
47927255,100,20,5.0,29.75,6.0,1,3,False,S,35.8206883606521,128.756630863439,경상북도 경산시 삼풍동,True,True,True,True,True,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0
47927227,4500,0,5.0,26.4,6.0,1,3,False,SE,35.8233248697366,128.754404561486,경상북도 경산시 삼풍동,True,True,True,True,True,1447.0,158.0,138.0,266.0,2014.0,140.0,241.0
47927222,100,25,5.0,33.06,6.0,3,3,False,S,35.82112807638053,128.7556404472357,경상북도 경산시 삼풍동,True,True,True,True,True,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0
47927211,200,35,10.0,49.59,6.0,2,4,False,E,35.8220893156447,128.756651117044,경상북도 경산시 삼풍동,True,True,True,True,True,1614.0,164.0,116.0,235.0,2259.0,44.0,229.0
47927208,200,30,10.0,29.7,6.0,3,4,False,E,35.8236163187539,128.75383494861,경상북도 경산시 삼풍동,True,True,True,True,True,1411.0,149.0,187.0,304.0,1953.0,200.0,235.0
47927203,200,25,5.0,29.75,6.0,2,4,False,S,35.82024300647532,128.7565149428241,경상북도 경산시 삼풍동,True,True,True,True,True,1813.0,96.0,98.0,200.0,2365.0,171.0,99.0
47927198,100,25,5.0,29.75,6.0,2,3,False,W,35.8216829867977,128.757699478556,경상북도 경산시 삼풍동,True,True,True,True,True,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0
47927136,200,30,5.0,26.44,6.0,2,3,False,E,35.83862215248308,128.75430837434982,경상북도 경산시 조영동,True,True,True,True,True,292.0,85.0,65.0,80.0,1807.0,91.0,186.0
47927029,100,25,5.0,23.14,7.0,1,3,False,SE,35.8397815652299,128.7522565321,경상북도 경산시 조영동,True,True,True,True,True,393.0,140.0,124.0,306.0,1688.0,38.0,203.0
47926690,100,25,5.0,23.14,6.0,4,4,False,SE,35.8394972694711,128.756193307235,경상북도 경산시 조영동,True,True,True,True,True,468.0,149.0,38.0,100.0,2000.0,38.0,194.0
47926684,100,25,5.0,26.45,6.0,2,4,False,NE,35.841308593750014,128.75582885742233,경상북도 경산시 조영동,True,True,True,True,True,620.0,71.0,85.0,210.0,2052.0,49.0,169.0
47926661,70,19,6.0,23.14,6.0,2,3,False,NE,35.84035080031026,128.75515212652513,경상북도 경산시 조영동,True,True,False,True,True,498.0,123.0,25.0,198.0,1951.0,83.0,139.0
47926658,200,29,6.0,23.14,7.0,3,3,False,S,35.83932495117189,128.75253295898483,경상북도 경산시 조영동,True,True,True,True,True,340.0,101.0,80.0,258.0,1688.0,39.0,228.0
47926655,100,25,7.0,23.14,6.0,4,4,False,NE,35.8394972694718,128.756193307234,경상북도 경산시 조영동,True,True,True,True,True,468.0,149.0,38.0,100.0,2000.0,38.0,194.0
47926646,150,26,7.0,23.14,6.0,4,4,False,SE,35.83908753303081,128.75477457810248,경상북도 경산시 조영동,True,True,True,True,True,357.0,36.0,83.0,100.0,1864.0,109.0,235.0
47926642,300,31,9.0,26.45,6.0,3,5,True,SE,35.841507849885105,128.7583561188615,경상북도 경산시 압량읍 부적리,True,True,True,True,True,764.0,290.0,92.0,145.0,2267.0,36.0,60.0
47926640,200,26,9.0,23.14,6.0,3,4,False,SW,35.8401738381707,128.756716863726,경상북도 경산시 조영동,True,True,True,True,True,556.0,215.0,19.0,63.0,2072.0,102.0,125.0
47926637,200,26,9.0,23.14,6.0,2,4,False,W,35.839650927618,128.75642024702,경상북도 경산시 조영동,True,True,True,True,True,494.0,171.0,53.0,76.0,2025.0,53.0,168.0
47926627,200,29,9.0,26.45,6.0,2,4,False,SE,35.838730296104,128.755171531912,경상북도 경산시 조영동,True,True,True,True,True,343.0,89.0,34.0,58.0,1884.0,117.0,222.0
47926620,200,33,9.0,23.14,6.0,2,4,False,S,35.8391053339625,128.754777404951,경상북도 경산시 조영동,True,True,True,True,True,359.0,35.0,85.0,102.0,1865.0,107.0,233.0
47926619,150,26,6.0,26.45,7.0,2,3,False,NE,35.8397815652292,128.7522565321,경상북도 경산시 조영동,True,True,True,False,True,393.0,140.0,124.0,306.0,1688.0,38.0,203.0
47926538,100,27,5.0,34.0,6.0,3,4,False,S,35.8226851105199,128.757263283958,경상북도 경산시 삼풍동,True,True,True,True,True,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0
47926532,100,27,5.0,34.0,6.0,4,4,False,S,35.8226851105199,128.757263283958,경상북도 경산시 삼풍동,True,True,True,True,True,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0
47926384,100,28,5.0,30.0,6.0,1,3,False,S,35.8212893435649,128.756228640919,경상북도 경산시 삼풍동,True,True,True,True,True,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0
47926344,100,25,5.0,30.0,6.0,1,3,False,S,35.8212893435649,128.756228640919,경상북도 경산시 삼풍동,True,True,True,True,True,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0
47926292,200,30,5.0,50.0,6.0,3,3,False,S,35.8217859014161,128.757655941286,경상북도 경산시 삼풍동,True,True,True,True,True,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0
47926255,200,30,5.0,50.0,6.0,2,3,False,S,35.8217859014161,128.757655941286,경상북도 경산시 삼풍동,True,True,True,True,True,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0
47926229,100,20,7.0,25.5,6.0,4,4,False,SE,35.8261563251768,128.735757294513,경상북도 경산시 중방동,True,True,False,True,True,1005.0,101.0,139.0,90.0,760.0,227.0,87.0
47926206,500,36,9.0,35.5,6.0,2,4,False,SW,35.8145573028903,128.753895858032,경상북도 경산시 사동,False,False,False,False,False,2417.0,241.0,65.0,233.0,2636.0,112.0,97.0
47926088,2500,0,5.0,30.0,6.0,3,3,False,S,35.82107541791,128.755414459848,경상북도 경산시 삼풍동,True,True,True,True,True,1706.0,40.0,53.0,86.0,2230.0,66.0,78.0
47926026,200,30,5.0,40.0,6.0,2,4,False,S,35.8220226163625,128.757742927794,경상북도 경산시 삼풍동,True,True,True,True,True,1645.0,226.0,215.0,319.0,2346.0,128.0,292.0
47926019,200,35,10.0,50.0,6.0,3,4,False,S,35.8215617430766,128.757277242413,경상북도 경산시 삼풍동,True,True,True,True,True,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0
47925466,150,30,5.0,29.75,26.0,1,3,False,S,35.8388113370622,128.754342753277,경상북도 경산시 조영동,True,True,True,True,True,312.0,64.0,54.0,92.0,1817.0,85.0,207.0
47925452,150,27,5.0,29.75,27.0,1,3,False,S,35.8399191547018,128.75240564293,경상북도 경산시 조영동,True,True,True,True,True,407.0,137.0,117.0,304.0,1707.0,57.0,183.0
47925441,150,25,5.0,29.75,27.0,1,3,False,E,35.8399191547018,128.75240564293,경상북도 경산시 조영동,True,True,True,True,True,407.0,137.0,117.0,304.0,1707.0,57.0,183.0
47925429,100,26,5.0,33.05,27.0,1,3,False,S,35.8396372080349,128.75314579383,경상북도 경산시 조영동,True,True,True,True,True,375.0,65.0,43.0,233.0,1753.0,70.0,172.0
47925332,200,30,6.0,29.75,11.0,2,3,False,S,35.8382692602157,128.75026854551,경상북도 경산시 대동,True,True,True,True,True,322.0,321.0,130.0,318.0,1454.0,18.0,348.0
47925137,100,19,5.0,30.0,6.0,3,3,False,S,35.8209350246449,128.756986596002,경상북도 경산시 삼풍동,True,True,True,True,True,1746.0,114.0,163.0,227.0,2355.0,109.0,172.0
47925073,150,25,7.0,36.36,6.0,3,4,False,SW,35.8412567991202,128.764698356347,경상북도 경산시 압량읍 신대리,True,True,True,True,True,1202.0,113.0,53.0,52.0,2787.0,70.0,83.0
47924931,150,30,5.0,33.05,19.0,1,3,False,S,35.83736659372098,128.7514255364471,경상북도 경산시 대동,True,True,True,True,True,177.0,286.0,35.0,181.0,1515.0,104.0,218.0
47924861,150,22,10.0,20.0,6.0,3,3,False,S,35.8429280801082,128.755610114606,경상북도 경산시 조영동,True,True,True,True,True,780.0,151.0,76.0,377.0,2122.0,140.0,248.0
47924688,100,22,5.0,27.0,6.0,3,4,False,S,35.8234871028861,128.753871606094,경상북도 경산시 삼풍동,True,True,True,True,True,1425.0,139.0,173.0,289.0,1964.0,188.0,225.0
47924252,50,15,0.0,23.14,6.0,2,3,False,E,35.842727222319,128.754555173491,경상북도 경산시 조영동,True,True,True,True,True,733.0,133.0,159.0,405.0,2030.0,133.0,184.0
47923741,100,15,5.0,26.45,6.0,4,4,False,SW,35.8383906317526,128.764628660042,경상북도 경산시 압량읍 신대리,True,True,True,True,True,1087.0,213.0,117.0,311.0,2693.0,105.0,27.0
47923678,300,33,9.0,46.28,6.0,4,4,True,SW,35.8295797419104,128.739537499822,경상북도 경산시 중방동,True,True,True,True,True,522.0,158.0,145.0,323.0,525.0,187.0,195.0
47923672,100,17,9.0,40.0,6.0,2,4,False,S,35.826258389293,128.727637283352,경상북도 경산시 옥산동,True,True,False,True,True,869.0,431.0,87.0,179.0,1032.0,137.0,152.0
47923605,200,31,9.0,49.59,6.0,3,4,False,N,35.8152659054432,128.72782200727,경상북도 경산시 옥곡동,True,False,False,True,True,2089.0,27.0,248.0,481.0,2089.0,128.0,56.0
47923565,200,28,9.0,39.67,6.0,2,4,False,S,35.8097727727184,128.759394575472,경상북도 경산시 사동,True,True,True,True,True,3005.0,119.0,28.0,110.0,3362.0,75.0,135.0
47923561,200,28,9.0,39.67,6.0,2,4,False,NE,35.8146785529927,128.753589965468,경상북도 경산시 사동,True,False,False,True,True,2403.0,215.0,86.0,260.0,2608.0,110.0,94.0
47922958,200,38,5.0,23.14,6.0,4,4,False,S,35.836833084903,128.751867313671,경상북도 경산시 대동,True,True,True,True,True,109.0,308.0,26.0,131.0,1535.0,146.0,175.0
47922883,200,32,5.0,26.45,6.0,2,4,False,SW,35.837686182582,128.75208339349,경상북도 경산시 대동,True,True,True,True,True,172.0,219.0,53.0,147.0,1583.0,52.0,173.0
47922199,200,32,5.0,30.0,6.0,2,4,False,S,35.8372434676927,128.752385623607,경상북도 경산시 대동,True,True,True,True,True,116.0,246.0,32.0,96.0,1593.0,105.0,130.0
47921324,100,30,5.0,26.45,6.0,1,3,False,S,35.838167907989295,128.75085440468092,경상북도 경산시 대동,True,True,True,True,True,277.0,276.0,81.0,268.0,1498.0,43.0,296.0
47921286,200,28,5.0,23.14,6.0,3,4,False,S,35.8400589135422,128.756077977503,경상북도 경산시 조영동,True,True,True,True,True,511.0,158.0,62.0,108.0,2014.0,51.0,184.0
47921236,200,30,5.0,39.67,6.0,3,3,False,SE,35.8217877144126,128.757655206755,경상북도 경산시 삼풍동,True,True,True,True,True,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0
47921082,300,30,10.0,36.3,6.0,3,4,False,W,35.8217132856433,128.758129225336,경상북도 경산시 삼풍동,True,True,True,True,True,1688.0,238.0,255.0,341.0,2394.0,160.0,302.0
47919458,100,23,5.0,25.5,6.0,2,3,False,SW,35.840482791565,128.753184990027,경상북도 경산시 조영동,True,True,False,True,True,469.0,148.0,118.0,303.0,1798.0,101.0,89.0
47919398,150,23,5.0,33.06,6.0,3,3,False,NE,35.8416575081029,128.751534717912,경상북도 경산시 임당동,True,True,True,True,True,610.0,325.0,166.0,497.0,1736.0,70.0,177.0
47919245,100,23,5.0,29.75,6.0,1,3,False,SW,35.8428437694685,128.754380220341,경상북도 경산시 조영동,True,True,True,True,True,743.0,152.0,177.0,425.0,2023.0,152.0,193.0
47918916,200,30,5.0,26.45,6.0,2,3,False,NW,35.8388276039833,128.754715952571,경상북도 경산시 조영동,True,True,True,True,True,329.0,61.0,63.0,74.0,1849.0,117.0,219.0
47917873,200,27,8.0,20.0,6.0,3,4,False,S,35.8398100288197,128.762434433632,경상북도 경산시 압량읍 부적리,True,True,True,True,True,949.0,241.0,39.0,198.0,2543.0,202.0,68.0
47917627,100,25,5.0,23.14,6.0,3,3,False,SW,35.8378354646324,128.758334037256,경상북도 경산시 조영동,True,True,True,True,True,523.0,381.0,84.0,169.0,2127.0,152.0,252.0
47917513,100,20,5.0,26.45,6.0,3,3,False,W,35.843480016794935,128.74745172266725,경상북도 경산시 임당동,True,True,True,True,True,938.0,65.0,108.0,901.0,1587.0,39.0,48.0
47917478,50,11,5.0,19.83,7.0,2,3,False,E,35.838226349924,128.75064697051,경상북도 경산시 대동,True,True,False,True,False,294.0,291.0,101.0,287.0,1483.0,27.0,315.0
47915928,200,30,5.0,20.0,6.0,1,3,False,W,35.8391617112148,128.752736367882,경상북도 경산시 조영동,True,True,True,True,True,321.0,81.0,55.0,233.0,1698.0,63.0,235.0
47915852,200,30,5.0,20.0,6.0,1,3,False,W,35.8394751077968,128.752725003588,경상북도 경산시 조영동,True,True,True,True,True,356.0,88.0,77.0,252.0,1711.0,53.0,204.0
47915694,200,28,5.0,26.45,6.0,3,3,False,NW,35.8389809379276,128.754144629484,경상북도 경산시 조영동,True,True,True,True,True,322.0,52.0,30.0,118.0,1807.0,63.0,222.0
47915618,150,27,5.0,26.45,6.0,2,4,False,SW,35.8386689234398,128.758481141697,경상북도 경산시 조영동,True,True,True,True,True,573.0,362.0,94.0,87.0,2165.0,104.0,159.0
47915576,200,30,5.0,26.45,6.0,3,3,False,E,35.8394776528494,128.753581859678,경상북도 경산시 조영동,True,True,True,True,True,362.0,31.0,0.0,193.0,1782.0,48.0,179.0
47915450,200,33,5.0,26.45,6.0,3,3,False,NW,35.8373442163169,128.75145846562,경상북도 경산시 대동,True,True,True,True,True,173.0,285.0,38.0,177.0,1517.0,105.0,215.0
47915403,200,33,5.0,26.45,6.0,1,3,False,SW,35.8385084277393,128.754524549135,경상북도 경산시 조영동,True,True,True,True,True,290.0,94.0,61.0,57.0,1821.0,114.0,180.0
47914556,150,28,8.0,29.75,11.0,3,3,False,SW,35.8388276039833,128.754715952571,경상북도 경산시 조영동,True,True,True,True,True,329.0,61.0,63.0,74.0,1849.0,117.0,219.0
47914510,200,26,9.0,29.75,13.0,4,4,False,SE,35.8387171285435,128.75527715104,경상북도 경산시 조영동,True,True,True,True,True,348.0,97.0,34.0,59.0,1892.0,109.0,224.0
47914396,100,25,5.0,29.75,26.0,2,3,False,S,35.8412074083334,128.752399014115,경상북도 경산시 임당동,True,True,True,True,True,550.0,249.0,220.0,409.0,1776.0,30.0,132.0
47914276,100,22,5.0,29.75,,2,3,False,S,35.8411683218776,128.752002061001,경상북도 경산시 임당동,True,True,True,True,True,549.0,264.0,232.0,428.0,1743.0,31.0,168.0
47914239,300,36,9.0,49.59,6.0,3,4,True,S,35.8242038431006,128.73590121272,경상북도 경산시 중방동,True,True,False,True,True,1195.0,139.0,73.0,62.0,978.0,99.0,78.0
47913748,200,27,8.0,20.0,6.0,3,3,False,E,35.8399592628338,128.753424133811,경상북도 경산시 조영동,True,True,True,True,True,413.0,86.0,56.0,243.0,1791.0,100.0,129.0
47913262,100,20,5.0,26.44,11.0,1,4,False,S,35.8405656533684,128.756210997979,경상북도 경산시 조영동,True,True,True,True,True,565.0,152.0,41.0,126.0,2047.0,47.0,173.0
47911102,200,23,9.0,33.06,24.0,2,3,False,SE,35.8435981662031,128.74944458189,경상북도 경산시 임당동,True,True,True,True,True,870.0,225.0,73.0,783.0,1723.0,45.0,110.0
47910264,100,25,5.0,29.75,6.0,1,3,False,SE,35.8212824087436,128.756228377476,경상북도 경산시 삼풍동,True,True,True,True,True,1695.0,68.0,117.0,163.0,2277.0,56.0,135.0
47909470,70,18,7.0,33.0,6.0,3,3,False,E,35.8432845895802,128.750254028479,경상북도 경산시 임당동,True,True,False,True,True,814.0,304.0,89.0,710.0,1754.0,58.0,68.0
47909280,70,17,5.0,33.0,6.0,3,3,False,E,35.8434848130169,128.749400699576,경상북도 경산시 임당동,True,True,False,True,True,860.0,224.0,71.0,776.0,1712.0,54.0,101.0
47908087,100,28,7.0,33.05,6.0,3,3,False,S,35.84066010522546,128.75519878373206,경상북도 경산시 조영동,True,True,False,True,True,531.0,108.0,52.0,207.0,1969.0,62.0,124.0
47907643,100,25,5.0,30.0,6.0,2,3,False,S,35.8214473669905,128.75585482681,경상북도 경산시 삼풍동,True,True,True,True,True,1671.0,71.0,81.0,137.0,2239.0,58.0,131.0
47907360,60,16,5.0,20.0,7.0,2,3,False,W,35.8394036377066,128.759574723052,경상북도 경산시 압량읍 부적리,True,True,True,True,True,698.0,453.0,111.0,146.0,2283.0,39.0,92.0
47905961,100,14,9.0,33.06,17.0,3,4,False,SW,35.8406102004132,128.765517046792,경상북도 경산시 압량읍 신대리,True,True,False,True,True,1239.0,56.0,94.0,141.0,2834.0,65.0,125.0
47905945,200,35,10.0,50.0,6.0,4,4,False,S,35.8220003120346,128.756747850547,경상북도 경산시 삼풍동,True,True,True,True,True,1626.0,160.0,127.0,237.0,2271.0,43.0,226.0
47905934,200,35,10.0,50.0,6.0,4,4,False,S,35.8220032884988,128.756741498756,경상북도 경산시 삼풍동,True,True,True,True,True,1625.0,160.0,126.0,236.0,2271.0,43.0,226.0
47905885,200,35,5.0,50.0,6.0,2,4,False,S,35.8224607526897,128.756312540823,경상북도 경산시 삼풍동,True,True,True,True,True,1568.0,190.0,87.0,237.0,2211.0,75.0,250.0
47905877,200,35,5.0,50.0,6.0,3,4,False,S,35.8224607526897,128.756312540823,경상북도 경산시 삼풍동,True,True,True,True,True,1568.0,190.0,87.0,237.0,2211.0,75.0,250.0
